0:0:0:0:0:0:0:1 - - [06/Oct/2020:12:42:24 +0530] "GET /project_4/ctl/TimeTableListCtl HTTP/1.1" 200 12081
0:0:0:0:0:0:0:1 - - [06/Oct/2020:12:42:24 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [06/Oct/2020:12:42:24 +0530] "GET /project_4/ctl/TimeTableListCtl HTTP/1.1" 200 12081
0:0:0:0:0:0:0:1 - - [06/Oct/2020:12:42:24 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [06/Oct/2020:12:42:24 +0530] "GET /project_4/ctl/TimeTableListCtl HTTP/1.1" 200 12081
0:0:0:0:0:0:0:1 - - [06/Oct/2020:12:42:24 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [06/Oct/2020:12:42:28 +0530] "GET /project_4/ctl/TimeTableCtl?id=2 HTTP/1.1" 200 9377
0:0:0:0:0:0:0:1 - - [06/Oct/2020:12:42:28 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [06/Oct/2020:12:42:30 +0530] "POST /project_4/ctl/TimeTableCtl HTTP/1.1" 404 876
0:0:0:0:0:0:0:1 - - [06/Oct/2020:12:42:30 +0530] "GET /project_4/ErrorCtl/img/logo.png HTTP/1.1" 404 876
0:0:0:0:0:0:0:1 - - [06/Oct/2020:12:42:55 +0530] "POST /project_4/ctl/TimeTableCtl HTTP/1.1" 404 876
0:0:0:0:0:0:0:1 - - [06/Oct/2020:12:45:09 +0530] "GET /project_4/WelcomeCtl HTTP/1.1" 200 4391
0:0:0:0:0:0:0:1 - - [06/Oct/2020:12:45:09 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [06/Oct/2020:12:45:11 +0530] "GET /project_4/WelcomeCtl HTTP/1.1" 200 4391
0:0:0:0:0:0:0:1 - - [06/Oct/2020:12:45:11 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [06/Oct/2020:12:45:11 +0530] "GET /project_4/WelcomeCtl HTTP/1.1" 200 4391
0:0:0:0:0:0:0:1 - - [06/Oct/2020:12:45:11 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [06/Oct/2020:12:45:11 +0530] "GET /project_4/WelcomeCtl HTTP/1.1" 200 4391
0:0:0:0:0:0:0:1 - - [06/Oct/2020:12:45:11 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [06/Oct/2020:12:45:11 +0530] "GET /project_4/WelcomeCtl HTTP/1.1" 200 4391
0:0:0:0:0:0:0:1 - - [06/Oct/2020:12:45:12 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [06/Oct/2020:12:45:12 +0530] "GET /project_4/WelcomeCtl HTTP/1.1" 200 4391
0:0:0:0:0:0:0:1 - - [06/Oct/2020:12:45:12 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [06/Oct/2020:12:45:17 +0530] "GET /project_4/ctl/TimeTableListCtl HTTP/1.1" 200 12081
0:0:0:0:0:0:0:1 - - [06/Oct/2020:12:45:17 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [06/Oct/2020:12:45:19 +0530] "GET /project_4/ctl/TimeTableCtl?id=6 HTTP/1.1" 200 9377
0:0:0:0:0:0:0:1 - - [06/Oct/2020:12:45:19 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [06/Oct/2020:12:45:21 +0530] "POST /project_4/ctl/TimeTableCtl HTTP/1.1" 200 9282
0:0:0:0:0:0:0:1 - - [06/Oct/2020:12:45:21 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [06/Oct/2020:13:33:34 +0530] "GET /project_4/ctl/GetMarksheetCtl HTTP/1.1" 200 4366
0:0:0:0:0:0:0:1 - - [06/Oct/2020:13:33:34 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
